epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.541,0.88936,0.94414,1.0625,0.94161,0.96049,0.98539,0.79472,0.74839,0.73032,0.97466,0.000232333,0.000232333,0.000232333
2,559.382,0.96867,0.97495,1.1041,0.92787,0.93538,0.97207,0.73411,0.87011,0.80904,1.03426,0.000451708,0.000451708,0.000451708
3,849.482,1.03225,1.10308,1.14413,0.82966,0.891,0.92792,0.67031,0.95998,0.97455,1.09215,0.000652233,0.000652233,0.000652233
4,1134.06,1.08608,1.17473,1.15444,0.80604,0.86154,0.90913,0.62677,1.02921,1.15451,1.14754,0.000629177,0.000629177,0.000629177
5,1407.22,1.10018,1.17388,1.17155,0.82325,0.86335,0.91735,0.6653,0.97141,1.00931,1.10067,0.000600902,0.000600902,0.000600902
6,1702.64,1.06791,1.12058,1.15248,0.83632,0.88764,0.93659,0.67527,0.98979,0.99512,1.13043,0.000572628,0.000572628,0.000572628
7,1993.82,1.07036,1.16329,1.16705,0.81746,0.87558,0.91326,0.6499,0.97776,1.06425,1.11889,0.000544354,0.000544354,0.000544354
8,2289.4,1.04854,1.07247,1.14642,0.87213,0.91497,0.95511,0.69945,0.94826,0.88057,1.07401,0.000516079,0.000516079,0.000516079
9,2592.04,1.02932,1.04732,1.12776,0.90689,0.89733,0.9595,0.72341,0.89201,0.81535,1.04481,0.000487805,0.000487805,0.000487805
10,2890.88,0.99077,1.00071,1.12043,0.87927,0.88969,0.94117,0.69353,0.93636,0.88762,1.08873,0.00045953,0.00045953,0.00045953
11,3198.62,0.95712,0.93884,1.1077,0.90433,0.9056,0.96048,0.72473,0.90435,0.81011,1.0559,0.000431256,0.000431256,0.000431256
12,3496.22,0.96495,0.94498,1.10032,0.88453,0.9238,0.9639,0.72703,0.87635,0.7842,1.04342,0.000402982,0.000402982,0.000402982
13,3801.78,0.96767,0.90404,1.11055,0.92804,0.94294,0.98339,0.75496,0.85314,0.69781,1.02675,0.000374707,0.000374707,0.000374707
14,4108.21,0.9437,0.90924,1.09006,0.95437,0.93217,0.98007,0.77371,0.78518,0.67634,1.00762,0.000346433,0.000346433,0.000346433
15,4410.71,0.88809,0.84884,1.07245,0.93212,0.94702,0.9822,0.77207,0.80373,0.65346,1.00865,0.000318158,0.000318158,0.000318158
16,4716.64,0.91729,0.8455,1.08757,0.92701,0.92344,0.97044,0.73016,0.89065,0.75573,1.05223,0.000289884,0.000289884,0.000289884
17,5018.24,0.86307,0.79201,1.0643,0.9155,0.96276,0.97942,0.76544,0.80392,0.67831,0.98755,0.00026161,0.00026161,0.00026161
18,5319.95,0.84144,0.72391,1.05328,0.95359,0.95393,0.98666,0.80103,0.73328,0.60499,0.96235,0.000233335,0.000233335,0.000233335
19,5612.93,0.80455,0.71656,1.027,0.94646,0.97846,0.99056,0.80303,0.72869,0.58878,0.9633,0.000205061,0.000205061,0.000205061
20,5909.62,0.78079,0.67157,1.03249,0.96242,0.97786,0.99232,0.81497,0.70334,0.55706,0.94787,0.000176786,0.000176786,0.000176786
21,6203.59,0.76531,0.66327,1.01368,0.97549,0.96527,0.99167,0.82478,0.67824,0.54735,0.93697,0.000148512,0.000148512,0.000148512
22,6505.66,0.73156,0.62443,0.99578,0.97966,0.96643,0.99247,0.83632,0.64364,0.52896,0.92416,0.000120238,0.000120238,0.000120238
23,6800.93,0.73324,0.60392,1.00063,0.98273,0.98341,0.99364,0.84307,0.62256,0.50928,0.91349,9.19632e-05,9.19632e-05,9.19632e-05
24,7095.22,0.72166,0.58613,0.98596,0.9808,0.98513,0.99348,0.84635,0.60994,0.50537,0.90738,6.36888e-05,6.36888e-05,6.36888e-05
25,7388.87,0.68597,0.57678,0.97983,0.97709,0.98432,0.99355,0.85233,0.59644,0.49336,0.90298,3.54144e-05,3.54144e-05,3.54144e-05
